"Ramsar Site No.","Site name","Region","Country","Territory","Designation date","Last publication date","Area (ha)","Latitude","Longitude","Annotated summary","Criterion1","Criterion2","Criterion3","Criterion4","Criterion5","Criterion6","Criterion7","Criterion8","Criterion9","Wetland Type","Maximum elevation","Minimum elevation","Montreux listed","Management plan implemented","Management plan available","Ecosystem services","Threats","large administrative region","Global international legal designations","Regional international legal designations","National conservation designation","Does the wetland extend onto the territory of one or more other countries?","Ramsar Advisory Mission?"
"2441"," Lonar Lake ","Asia","India","","2020-07-22","2020-11-11","427","19.975939864853","76.508412971068","<p>This wetland on the Deccan Plateau is an endorheic or closed basin, almost circular in shape, formed by a meteorite impact onto the basalt bedrock. The Site includes the lake as well as escarpments, which form the crater walls, and forested zones. The lake is high in salinity and alkalinity, as the lack of an outflow leads to a concentration of minerals as the lake water evaporates. Specialized micro-organisms such as anaerobes, cyanobacteria and phytoplankton survive in this harsh chemical environment. Outside the lake, there is considerable diversity of plant and animal life, as springs which help feed the lake provide a source of fresh water. Inhabiting the Site are 160 species of birds including the vulnerable Asian woollyneck (<em>Ciconia episcopus</em>) and common pochard (<em>Aythya ferina</em>), 46 species of reptiles, and 12 species of mammals including the iconic grey wolf (<em>Canis lupus</em>). Factors which threaten the site include household sewage and urban wastewater, and unsustainable tourism.</p>","Yes","Yes","Yes","Yes","No","No","No","No","No","Inland wetlands, Q: Permanent saline/ brackish/ alkaline lakes","488","481","No","Yes","Yes","Provisioning Services, Genetic materials, Biochemical products, Regulating Services, Climate regulation, Erosion protection, Maintenance of hydrological regimes, Cultural Services, Spiritual and inspirational, Recreation and tourism, Scientific and educational, Supporting Services, Biodiversity, Soil formation, Nutrient cycling","Water regulation, Drainage, Water releases, Transportation and service corridors, Roads and railroads, Human intrusions & disturbance, Recreational and tourism activities, Unspecified/others, Pollution, Household sewage, urban waste water, Agricultural and forestry effluents, Human settlements (non agricultural), Housing and urban areas, Commercial and industrial areas, Tourism and recreation areas, Agriculture & aquaculture, Livestock farming and ranching, Climate change & severe weather, Droughts","Site lies in Buldhana district in the state of Maharashtra","","","","No","No"
"2534","Aghanashini Estuary ","Asia","India","","2023-02-14","2024-01-31","4801","14.510450079209","74.38309620262","<p>The Site is an estuary where the Aghanashini River flows into the Arabian Sea in Karnataka State. In addition to its estuarine and shallow marine waters, it features rocky and pebble shores, intertidal mudflats and some aquaculture ponds and rice fields. These diverse environments provide habitats to more than 80 fish, 115 birds and 45 mangroves and mangrove-associated species, including globally threatened species such as halavi guitarfish (<em>Glaucostegus halavi</em>), lesser adjutant (<em>Leptoptilos javanicus</em>) and Indian river tern (<em>Sterna aurantia</em>). A majority of the fish species found at the Site are able to adapt to a wide range of saline environments, while some are migratory and only enter the Site for spawning or during early life stages. About 55,000 individual birds and more than 1% of the regional populations of nine bird species have been recorded here, including almost 10% of the regional population of black-headed ibis (<em>Threskiornis melanocephalus</em>). The Site supports the livelihoods of more than 6,000 households, who are engaged in activities such as fishing, agriculture, shrimp aquaculture, bivalve shell mining and salt production. In the estuary, farmers practice traditional farming to grow a salt-tolerant rice called &ldquo;kagga&rdquo;, which is one of the specialities of the region.</p>","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Marine or coastal wetlands, A: Permanent shallow marine waters, F: Estuarine waters, D: Rocky marine shores, E: Sand, shingle or pebble shores, G: Intertidal mud, sand or salt flats","27","0","No","No","No","Provisioning Services, Food for humans, Regulating Services, Hazard reduction, Pollution control and detoxification, Erosion protection, Maintenance of hydrological regimes, Cultural Services, Spiritual and inspirational, Scientific and educational, Recreation and tourism, Supporting Services, Pollination, Nutrient cycling, Biodiversity","Human settlements (non agricultural), Unspecified development, Water regulation, Canalisation and river regulation, Agriculture & aquaculture, Marine and freshwater aquaculture, Transportation and service corridors, Shipping lanes, Biological resource use, Fishing and harvesting aquatic resources, Human intrusions & disturbance, Recreational and tourism activities, Natural system modifications, Unspecified/others, Climate change & severe weather, Habitat shifting and alteration, Invasive and other problematic species and genes, Invasive non-native/ alien species","Kumta Taluk, Uttara Kannada District, Karnataka State, India","","","","No","No"
"2535","Ankasamudra Bird Conservation Reserve","Asia","India","","2023-03-10","2024-01-31","98.76","15.127969168663","76.233673549598","<p>The Site is a human-made wetland built for storing monsoon run-off water coming from the Tungabhadra River and providing irrigation to surrounding drought-risk areas.The Site is widely known for its rich bird diversity and has been declared as a conservation reserve, managed mainly for bird protection. Some 35,000 birds of 240 species have been recorded, of which about 30 waterbird species breed at the Site. Several thousand gum Arabic trees (<em>Vachellia nilotica</em>) growing in the lake provide nesting, roosting and breeding habitat for large colonies of waterbirds including the Indian cormorant (<em>Phalacrocorax fuscicollis</em>) and the near-threatened painted stork (<em>Mycteria leucocephala</em>). At least 20% of the regional population of glossy ibis (<em>Plegadis falcinellus</em>) has been regularly recorded at the Site. There are also nine endemic fish species, three of which are globally endangered: tiger loach (<em>Botia striata</em>), aruli barb (<em>Dawkinsia arulius</em>) and nukta (<em>Schismatorhynchos nukta</em>). Excessive growth of the invasive alligator weed (<em>Alternanthera philoxeroides</em>), the shrub <em>Prosopis juliflora</em> and the African catfish (<em>Clarias gariepinus</em>) are threatening the native fish and waterbirds. A management and restoration plan for the Site was being prepared as of 2023.</p>","No","Yes","Yes","Yes","Yes","Yes","No","No","No","Human-made wetlands, 6: Water storage areas/Reservoirs","517","502","No","No","In preparation","Cultural Services, Recreation and tourism, Scientific and educational, Regulating Services, Maintenance of hydrological regimes, Erosion protection, Pollution control and detoxification, Provisioning Services, Fresh water, Supporting Services, Biodiversity","Human settlements (non agricultural), Tourism and recreation areas, Agriculture & aquaculture, Marine and freshwater aquaculture, Transportation and service corridors, Roads and railroads, Human intrusions & disturbance, Recreational and tourism activities, Invasive and other problematic species and genes, Invasive non-native/ alien species, Climate change & severe weather, Storms and flooding, Water regulation, Water releases","The Site is found in the Vijayanagara District, Karnataka State, India","","","","No","No"
"2487","Ansupa Lake","Asia","India","","2021-10-12","2022-10-31","231","20.46026485427","85.603170382995","<p>Ansupa, a small freshwater oxbow lake formed by the Mahanadi river, is known nationally for its scenic beauty and rich biodiversity. Some 194 species of birds, 61 fish species, 244 macrophytes, 88 butterflies&nbsp;and 26 mammals are supported by the wetland. The lake provides a safe habitat to three endangered species, the Indian skimmer (<em>Rynchops albicollis</em>), the black-bellied tern (<em>Sterna acuticauda</em>) and the wagur (<em>Clarias magur</em>), and the vulnerable river tern (<em>Sterna aurantia</em>) and helicopter catfish (<em>Wallago attu</em>). It also sustains the water demands of the surrounding areas and supports the fishing and farming livelihoods of the local communities. It is connected with Mahanadi river by a small channel which is not currently functional, making the lake prone to drying during extreme droughts. Other threats such as soil erosion, sedimentation, weed infestation, and fisheries also face the lake and its biodiversity. A management plan has been prepared for the period from 2019 to 2024.</p>","No","Yes","No","No","No","No","Yes","Yes","No","Inland wetlands, O: Permanent freshwater lakes","58","30","No","No","Yes","Provisioning Services, Food for humans, Regulating Services, Maintenance of hydrological regimes, Cultural Services, Recreation and tourism, Supporting Services, Biodiversity","Human settlements (non agricultural), Tourism and recreation areas, Agriculture & aquaculture, Annual and perennial non-timber crops, Water regulation, Water abstraction, Invasive and other problematic species and genes, Problematic native species, Pollution, Agricultural and forestry effluents, Climate change & severe weather, Droughts, Natural system modifications, Vegetation clearance/ land conversion, Human intrusions & disturbance, Recreational and tourism activities, Biological resource use, Fishing and harvesting aquatic resources","Subranpur, Cuttack, Odisha","","","Overlapping site categories, Non-statutory designations, Important Bird Area","No","No"
"2437","Asan Conservation Reserve ","Asia","India","","2020-07-21","2020-10-16","444.4","30.433796144899","77.682824131961","<p>The Asan&nbsp;Conservation Reserve is a 444-hectare stretch of the Asan River running down to its confluence with the Yamuna River in Dehradun district of Uttarakhand. The damming of the River by the Asan Barrage in 1967 resulted in siltation above the dam wall, which helped to create some of the Site&rsquo;s bird-friendly habitats. These habitats support 330 species of birds including the critically endangered red-headed vulture (<em>Sarcogyps calvus</em>), white-rumped vulture (<em>Gyps bengalensis</em>) and Baer&rsquo;s pochard (<em>Aythya baeri</em>). More than 1% of the biogeographical populations of two waterbird species have been recorded, these being red-crested pochard (<em>Netta rufina</em>) and ruddy shelduck (<em>Tadorna ferruginea</em>). Other non-avian species present include 49 fish species, one of these being the endangered Putitor mahseer (<em>Tor putitora</em>). Fish use the site for feeding, migration and spawning. As well as this support for biodiversity and the hydro-electricity production of the Barrage, the Site&rsquo;s role in maintaining hydrological regimes is important.</p>","No","Yes","Yes","Yes","No","Yes","No","Yes","No","Inland wetlands, M: Permanent rivers/ streams/ creeks, Human-made wetlands, 6: Water storage areas/Reservoirs","402","396","No","Yes","Yes","Provisioning Services, Fresh water, Food for humans, Regulating Services, Maintenance of hydrological regimes, Cultural Services, Scientific and educational, Recreation and tourism, Supporting Services, Biodiversity","Human settlements (non agricultural), Housing and urban areas, Tourism and recreation areas, Water regulation, Dredging, Canalisation and river regulation, Water releases, Drainage, Water abstraction, Agriculture & aquaculture, Livestock farming and ranching, Energy production and mining, Renewable energy, Transportation and service corridors, Roads and railroads, Human intrusions & disturbance, Recreational and tourism activities, Natural system modifications, Dams and water management/use, Invasive and other problematic species and genes, Invasive non-native/ alien species, Pollution, Household sewage, urban waste water, Agricultural and forestry effluents, Climate change & severe weather, Storms and flooding, Geological events, Earthquakes/tsunamis","Uttarakhand","","","Overlapping site categories, Non-statutory designations, Important Bird Area","No","No"
"1204","Ashtamudi Wetland","Asia","India","","2002-08-19","2002-08-19","6140","8.95","76.583333333333","Ashtamudi Wetland. 19/08/02. Kerala. 61,400 ha. 08°57'N 076°35'E. An extensive estuarine system, the second largest in Kerala State, which is of extraordinary importance for its hydrological functions, its biodiversity, and its support for fish. The site supports a number of mangrove species as well as over 40 associated plant species, and 57 species of birds have been observed, including six that are migratory. Nearly 100 species of fish sustain a lively fishing industry, with thousands of fishermen depending directly upon the estuary for their livelihood. Population density and urban pressures pose threats to the site, including pollution from oil spills from thousands of fishing boats and from industries in the surrounding area and conversion of natural habitat for development purposes. Ramsar site no. 1204. Most recent RIS information: 2002.","Yes","Yes","Yes","No","No","No","No","Yes","No","Marine or coastal wetlands, I: Intertidal forested wetlands, F: Estuarine waters","10","10","No","No","No","Provisioning Services, Food for humans, Wetland non-food products, Regulating Services, Hazard reduction, Erosion protection","Transportation and service corridors, Shipping lanes, Biological resource use, Fishing and harvesting aquatic resources, Pollution, Household sewage, urban waste water, Unspecified, Industrial and military effluents, Human settlements (non agricultural), Commercial and industrial areas, Housing and urban areas, Natural system modifications, Vegetation clearance/ land conversion","Kerala State","","","","No","No"
"2465","Bakhira Wildlife Sanctuary","Asia","India","","2021-06-29","2022-02-01","2894","26.910224015083","83.129782917132","<p>This freshwater marsh in the Sant Kabir Nagar district&nbsp;is the largest natural floodplain wetland of eastern Uttar Pradesh. The Sanctuary was established in 1980 and is protected under the Wildlife Protection Act (1972); an &ldquo;eco-sensitive zone&rdquo; extends up to a kilometre around its boundary. The wetland is internationally important for its birdlife as it supports over 80 species. It provides a wintering ground for over 25 species which migrate on the Central Asian Flyway, some of which are threatened or near-threatened such as the endangered Egyptian vulture (<em>Neophron percnopterus</em>), the vulnerable greater spotted eagle (<em>Aquila clanga</em>), common pochard (<em>Aythya ferina</em>) and swamp francolin (<em>Francolinus gularis</em>), and the near-threatened oriental darter (<em>Anhinga melanogaster</em>) and woolly-necked stork (<em>Ciconia episcopus</em>). The wetland also supports 119 plant species and 45 species of fish: it is home to the vulnerable European carp (<em>Cyprinus carpio</em>) and the catfish <em>Wallago attu, </em>and the near-threatened Gangetic ailia (<em>Ailia coila</em>) and silver carp (<em>Hypophthalmichthys molitrix</em>). The Site is also used for recreation and tourism and contributes to food supply and nutrient cycling.</p>","No","Yes","Yes","Yes","No","No","No","Yes","No","Inland wetlands, Tp: Permanent freshwater marshes/ pools","77","73","No","No","In preparation","Regulating Services, Maintenance of hydrological regimes, Cultural Services, Recreation and tourism, Supporting Services, Biodiversity, Nutrient cycling, Provisioning Services, Wetland non-food products, Food for humans","Biological resource use, Fishing and harvesting aquatic resources, Agriculture & aquaculture, Annual and perennial non-timber crops, Invasive and other problematic species and genes, Invasive non-native/ alien species, Water regulation, Drainage","The site is situated in Sant Kabir Nagar district in the state of Uttar Pradesh.","","","Overlapping site categories, Non-statutory designations, Important Bird Area","No","No"
"2408","Beas Conservation Reserve","Asia","India","","2019-09-26","2020-02-01","6428.92","31.394839414462","75.194689953506","<p>The Beas Conservation Reserve is a 185-kilometre stretch of the Beas River located primarily in the north-west of the State of Punjab. The River meanders down from the Himalayan foothills to the Harike Headworks, where its course is diverted into a number of channels. The River is dotted with islands, sand bars and braided channels creating a complex environment supporting substantial biodiversity. More than 500 species of birds are documented along this stretch, along with more than 90 fish species. The Reserve also hosts the only known population in India of the endangered Indus river dolphin (<em>Platanista gangetica minor</em>). Further threatened species include the endangered masheer (<em>Tor putitora</em>) and hog deer (<em>Axis porcinus</em>) as well as the vulnerable smooth-coated otter (<em>Lutrogale perspicillata</em>). In 2017, a programme was initiated to re-introduce the critically endangered gharial (<em>Gavialis gangeticus</em>) with 47 individuals released into the River 30 years after their disappearance. Major threats include urban and domestic pollution as well as impacts of agriculture along most of the River&rsquo;s course. The Department of Forests and Wildlife Preservation, Punjab, conduct the scientific management of the wetland.</p>","No","Yes","No","No","No","No","Yes","No","No","Inland wetlands, M: Permanent rivers/ streams/ creeks, Human-made wetlands, 6: Water storage areas/Reservoirs","320","210","No","No","No","Supporting Services, Nutrient cycling, Pollination, Biodiversity, Soil formation, Regulating Services, Pollution control and detoxification, Maintenance of hydrological regimes, Cultural Services, Scientific and educational, Recreation and tourism, Provisioning Services, Fresh water, Food for humans","Human settlements (non agricultural), Tourism and recreation areas, Commercial and industrial areas, Housing and urban areas, Unspecified development, Water regulation, Water abstraction, Water releases, Canalisation and river regulation, Biological resource use, Gathering terrestrial plants, Fishing and harvesting aquatic resources, Invasive and other problematic species and genes, Invasive non-native/ alien species, Pollution, Agricultural and forestry effluents, Garbage and solid waste, Household sewage, urban waste water, Agriculture & aquaculture, Livestock farming and ranching, Annual and perennial non-timber crops, Wood and pulp plantations, Marine and freshwater aquaculture, Human intrusions & disturbance, Recreational and tourism activities, Natural system modifications, Vegetation clearance/ land conversion, Dams and water management/use","Hoshiarpur, Amritsar, Gurdaspur, Kaputhala, Jalandhar, Tarn Taran","","","","No","No"
"2459","Bhindawas Wildlife Sanctuary","Asia","India","","2021-05-25","2021-08-06","412","28.533807508844","76.550354238446","<p>Bhindawas Wildlife Sanctuary is a human-made freshwater wetland, and is the largest wetland in Haryana State. The wetland was declared as a protected area in 1986 and was designated as an Eco-sensitive zone by the Ministry of Environment, Forests and Climate Change in 2011. Over 250 species use the Sanctuary throughout the year as a resting and roosting site. The Site supports more than ten globally threatened species including the endangered Egyptian vulture (<em>Neophron percnopterus</em>), steppe eagle (<em>Aquila nipalensis</em>), Pallas&rsquo;s fish eagle (<em>Haliaeetus leucoryphus</em>) and black-bellied tern (<em>Sterna acuticauda</em>). The Site regularly supports more than 1.7% of the biogeographic population of greylag goose (<em>Anser anser</em>) and more than 2% of the biogeographic population of Indian cormorant (<em>Phalacrocorax fuscicollis</em>). Mammals recorded at the Site include nilgai (<em>Boselaphus tragocamelus</em>), common mongoose (<em>Herpestes edwardsi</em>), and black-naped hare (<em>Lepus nigricollis</em>). The Sanctuary contributes to maintaining the region&rsquo;s water table by recharging groundwater, and is also a natural flood buffer.</p>","No","Yes","Yes","Yes","No","Yes","No","No","No","Human-made wetlands, 6: Water storage areas/Reservoirs","230","200","No","Yes","Yes","Regulating Services, Hazard reduction, Climate regulation, Maintenance of hydrological regimes, Cultural Services, Spiritual and inspirational, Recreation and tourism, Supporting Services, Nutrient cycling, Biodiversity","Pollution, Agricultural and forestry effluents, Invasive and other problematic species and genes, Invasive non-native/ alien species, Human intrusions & disturbance, Recreational and tourism activities, Climate change & severe weather, Storms and flooding","Rohtak, Haryana","","","Overlapping site categories, Non-statutory designations, Important Bird Area","No","No"
"1205","Bhitarkanika Mangroves","Asia","India","","2002-08-19","2002-08-19","65000","20.65","86.9","Bhitarkanika Mangroves. 19/08/02. Orissa. 65,000 ha. 20°39'N 086°54'E. Wildlife Sanctuary. One of the finest remaining patches of mangrove forests along the Indian coast - 25 years of continued conservation measures have made the site one of the best known wildlife sanctuaries. The site's Gahirmatha beach is said to host the largest known Olive Ridley sea turtle nesting beach in the world, with half a million nesting annually, and the site has the highest density of saltwater crocodile in the country, with nearly 700 Crocodylus porosus. It is a major breeding and wintering place for many resident and migratory waterbirds and is the east coast's major nursery for brackish water and estuarine fish fauna. Like many mangrove areas, the dense coastal forests provide vital protection for millions of people from devastating cyclones and tidal surges - of India's 58 recorded species of mangroves, 55 species are found in Bhitarkanika, a wider mangrove diversity than in the Sundarbans! Traditionally, sustainable harvesting of food, medicines, tannins, fuel wood, and construction materials, and particularly honey and fish, has been the rule, but population pressures and encroachment may threaten that equilibrium. Ramsar site no. 1205. Most recent RIS information: 2002.","No","Yes","No","Yes","Yes","No","No","Yes","No","Marine or coastal wetlands, B: Marine subtidal aquatic beds (Underwater vegetation), E: Sand, shingle or pebble shores, G: Intertidal mud, sand or salt flats, H: Intertidal marshes, I: Intertidal forested wetlands, J: Coastal brackish / saline lagoons, F: Estuarine waters","4","2","No","No","In preparation","Provisioning Services, Fresh water, Food for humans, Wetland non-food products, Regulating Services, Hazard reduction, Erosion protection, Pollution control and detoxification, Cultural Services, Spiritual and inspirational, Recreation and tourism, Scientific and educational, Supporting Services, Nutrient cycling","Water regulation, Salinisation, Human settlements (non agricultural), Housing and urban areas, Agriculture & aquaculture, Marine and freshwater aquaculture, Annual and perennial non-timber crops, Biological resource use, Fishing and harvesting aquatic resources, Gathering terrestrial plants, Hunting and collecting terrestrial animals, Logging and wood harvesting, Natural system modifications, Unspecified/others, Vegetation clearance/ land conversion","Orissa","","","","No","No"
